Network,Entropy Value,Train Acc,Test Acc
Network 8,6.700893,0.569400,0.442800
Network 9,6.703918,0.544600,0.381100
Network 0,6.712408,0.781800,0.716000
Network 1,6.712573,0.750000,0.717000
Network 2,6.713976,0.733000,0.705900
Network 3,6.705965,0.706200,0.624700
Network 4,6.706279,0.662800,0.574500
Network 5,6.702940,0.658600,0.541000
Network 6,6.703447,0.588200,0.492500
Network 7,6.699573,0.545600,0.493600
Network 8,6.691941,0.565000,0.469700
Network 9,6.695889,0.520000,0.409600
Network 0,6.721989,0.811800,0.755700
Network 1,6.719715,0.807400,0.758800
Network 2,6.717658,0.779400,0.688200
Network 3,6.717559,0.713400,0.605600
Network 4,6.716247,0.681400,0.563700
Network 5,6.714475,0.670800,0.535100
Network 6,6.716050,0.627400,0.513900
Network 7,6.708551,0.600400,0.448800
Network 8,6.710683,0.583600,0.453600
Network 9,6.712658,0.549200,0.371500
Network 0,6.723284,0.814400,0.747600
Network 1,6.724247,0.802200,0.725700
Network 2,6.717473,0.758600,0.685000
Network 3,6.713089,0.723200,0.622200
Network 4,6.708591,0.669600,0.562800
Network 5,6.705920,0.650000,0.520700
Network 6,6.707247,0.626800,0.519400
Network 7,6.704275,0.610600,0.463400
Network 8,6.703807,0.557800,0.490300
Network 9,6.702929,0.541600,0.405200
Network 0,6.726338,0.845400,0.769900
Network 1,6.726671,0.836600,0.764900
Network 2,6.726005,0.789000,0.708300
Network 3,6.722722,0.739800,0.667900
Network 4,6.724858,0.722000,0.603200
Network 5,6.722332,0.693800,0.558800
Network 6,6.723507,0.644600,0.547400
Network 7,6.718452,0.599400,0.487300
Network 8,6.719633,0.583400,0.465200
Network 9,6.717810,0.559000,0.357600
